gbifID,decimalLatitude,decimalLongitude
3873961188,45.798911,25.546716
3873905799,45.790217,25.036927
3873528094,43.129493,-6.25972
3873497758,46.017191,25.101766
3873455152,45.786351,25.087797
3873144870,,
3860467323,40.741697,44.973158
3860336119,42.998655,-6.493093
3859716588,42.971338,-6.317846
3859441329,40.468362,32.621948
3827217385,64.5,29.97
3827059496,64.5,29.97
3824066295,64.5,29.97
3773603188,43.123389,-6.254804
3773112149,43.073422,-6.245757
3743396395,43.050527,-6.349098
3743380368,43.08269,-6.332083
3743288275,43.181175,-6.295495
3743074139,43.023151,-6.384987
3742990127,43.171346,-6.230806
3731317984,45.65,14.45
3731189112,45.65,14.4
3731090763,45.7,14.55
3730311784,45.7,14.55
3726474576,45.7,14.55
3725459450,46.19,24.75
3722774494,41.73,42.31
3722678510,61.93,15.34
3721880911,62.1,13.16
3721815852,45.7,14.55
3721736437,45.6,14.6
3720728309,59.53,25.99
3717882556,59.26,26.78
3717768819,46.26,24.82
3468792284,43.104722,-6.228814
3468709248,36.062068,53.594398
3456946115,45.631447,14.519853
3456872233,46.262335,14.718254
3456841632,40.78803,31.537472
3456793921,40.865946,31.485146
3456560042,40.755503,31.549649
3456049642,41.643073,13.861562
3456028822,,
3455617957,40.783072,31.551213
3455573369,40.780039,31.575509
3455376625,37.44981,56.13971
3455355279,40.78551,31.541577
3416142417,40.805122,31.52847
3408149319,41.633485,42.32213
3399183847,43.148149,-6.308939
3398863146,40.804114,31.576807
3398787369,42.977276,-6.542002
3389506517,59.257835,26.961687
3389175460,49.072124,19.613554
3385038746,40.312545,42.522353
3384795582,45.462974,25.187319
3384429643,40.805683,31.570083
3384374828,45.580126,24.743354
3384314855,45.311281,24.715899
3383991784,45.286921,24.795973
3383900533,39.846311,45.268614
3355612410,46.176519,10.962129
3337138301,,
3335411663,42.822422,-6.377695
3330917335,60.800494,9.717065
3328133458,45.520379,24.678072
3327798538,45.222982,24.765676
3321130550,41.862309,13.612919
3307132300,46.385355,8.039467
3113689463,42.829884,-6.503628
3113374411,43.195682,-4.831738
3112901599,43.099489,-6.29969
3109058091,41.736804,14.070623
3059011572,39.849654,45.155407
3058688965,59.229898,26.825821
3044615520,40.984482,44.924395
3031781000,45.484946,14.589152
3025954713,,
3025683736,45.666667,13.766667
3025680177,,
3024412579,,
3024381774,,
3024370211,45.666667,13.766667
3013872802,41.811204,13.673706
3011908423,,
3011865892,,
3008571022,41.768016,13.933662
3005169653,42.858314,-6.300085
2862372296,39.741609,21.09
2862370672,39.749493,21.160467
2862333702,65.832742,30.055375
2860174112,39.842135,21.132084
2860151235,44.930233,15.522909
2850843929,43.06944,-6.306263
2850760852,43.130561,-6.34779
2844988497,61.93,15.35
2844505088,44.32,15.45
2844303933,45.7,14.55
2843441297,61.2,16.03
2843031014,53.74,26.2
2843029446,45.8,14.9
2842507685,55.45,27.99
2841574008,61.93,15.35
2840121080,42.36,45.65
2839934798,45.75,14.45
2839704350,64.5,29.98
2839640883,46.95,25.26
2839370750,40.32,20.99
2839204828,59.26,26.99
2839143929,61.93,15.35
2838109634,41.28,20.36
2837307417,61.93,15.35
2837025818,59.53,25.99
2836787139,42.36,45.65
2836732541,45.8,14.4
2836354785,44.46,15.55
2836193221,61.2,16.03
2836115029,64.5,29.98
2836044830,45.7,14.4
2836003243,42.88,-0.52
2835966144,64.5,29.98
2835800467,41.3,20.37
2835756216,64.5,29.98
2835255389,53.74,26.2
2835171846,49.26,19.75
2834636013,59.22,26.82
2834370380,45.7,14.55
2833987927,61.93,15.34
2832913607,62.51,15.67
2832879931,65.81,29.64
2832809025,44.84,14.99
2832777152,46.94,25.17
2832766076,41.83,46.31
2832643198,64.5,29.98
2832562068,64.5,29.98
2832510756,59.24,26.97
2832408793,66.54,36.22
2826161624,42.975049,-6.501307
2814351933,41.90368,13.81071
2814200651,41.997723,13.760688
2642793356,42.4,-123.1
2642791841,45.1,-122.8
2642783949,45.1,-122.8
2642743914,,
2642743585,,
2634153138,41.881849,13.763337
2618701344,,
2603531566,45.908028,10.906608
2576361814,45.771619,14.731388
2573927191,46.75774,10.07539
2573832586,59.376486,26.853881
2557749382,41.628166,14.073448
2540846815,37.004039,49.878018
2456568374,41.886328,13.693467
2447943126,45.544662,25.451995
2445152701,45.427048,25.430124
2445110009,41.771204,14.378282
2429371100,45.609022,14.511573
2423117644,,
2423000996,45.747687,14.65794
2283182789,65.964588,29.188665
2273249927,,
2242741935,45.642103,23.838363
2236923689,43.088525,-6.261408
2234768331,48.924,18.940123
2234765493,48.915464,18.968443
2005404266,45.798792,14.73321
2005404265,45.700812,14.728359
1993732186,64.495577,29.907499
1986528612,46.123618,25.843235
1986528429,46.448337,25.690314
1950035874,42.860824,0.816475
1946311927,39.620636,45.62183
1919783308,,
1850929441,42.602636,20.902977
1850918558,42.662914,21.165503
1838018705,48.976486,18.779755
1837097322,45.662432,14.68853
1837091193,42.829348,-6.481784
1837091065,43.106292,-4.995317
1836605549,48.940511,19.014244
1836605526,48.95462,18.983173
1831140910,43.499196,17.644987
1804881691,,
1703220861,45.387324,25.406805
1703181305,42.936367,-5.189052
1677342030,42.889528,-5.559534
1677341960,43.101804,-4.614477
1668900157,36.054702,53.602102
1640120013,41.950027,13.723237
1586142800,65.112961,29.855937
1453453864,37.399338,55.797762
1453451235,64.213547,29.708405
1453444993,36.676597,49.236149
1453050906,42.947169,-4.842977
1269550743,64.144161,29.943237
1227758968,41.166637,46.463928
1211975303,42.87851,-6.987727
1052575436,43.133629,-4.624059
1043991401,,
1042823479,42.920476,-6.556205
1042821345,43.1291,-6.634306
1042820944,42.835288,-6.477675
1042820075,43.187188,-5.319457
